Genus
Acarospora
Achaetomium
Achroceratosphaeria
Achroiostachys
Acremoniopsis
Acrocalymma
Acrophialophora
Acrostalagmus
Actinostilbe
Agaricus
Agonimia
Agrocybe
Akanthomyces
Alatospora
Albatrellus
Albifimbria
Albonectria
Aleuria
Aleurodiscus
Alfaria
Allantophomopsis
Alloclavaria
Alloconiothyrium
Allophoma
Allophylaria
Alnicola
Alpova
Alternaria
Amanita
Amauroascus
Amauroderma
Amaurodon
Amesia
Amicodisca
Ampelomyces
Amphinema
Ampulloclitocybe
Amylascus
Amyloporia
Amylostereum
Annulohypoxylon
Antarctomyces
Antennariella
Anthostomella
Anthracobia
Anthracocystis
Antrodia
Antrodiella
Aphanoascus
Aphanobasidium
Apiognomonia
Apiosordaria
Apiospora
Apiotrichum
Aplosporella
Apodospora
Apodus
Arachnion
Arachniotus
Arachnomyces
Arachnopeziza
Archaeorhizomyces
Arcopilus
Areolospora
Armillaria
Arnium
Arrhenia
Arthopyrenia
Arthrinium
Arthrobotrys
Arthrocladium
Arthroderma
Articulospora
Arxiella
Aschersonia
Ascobolus
Ascochyta
Ascocorticium
Ascocoryne
Ascotricha
Aspergillus
Aspicilia
Aspiciliella
Asterostroma
Astraeus
Athelia
Atla
Atractiella
Atractosporocybe
Aureobasidium
Auricularia
Austroboletus
Austrogautieria
Auxarthron
Bacidia
Balsamia
Barnettozyma
Barssia
Bartalinia
Basidioascus
Basidiodendron
Beauveria
Beltrania
Beltraniella
Bezerromyces
Biatora
Biatriospora
Bionectria
Bipolaris
Biscogniauxia
Bisifusarium
Bjerkandera
Blastenia
Blastobotrys
Blumenavia
Blumeria
Boeremia
Bolbitius
Boletopsis
Boletus
Botryobasidium
Botryosphaeria
Botryotinia
Botryotrichum
Botrytis
Boubovia
Bourdotigloea
Bovista
Bradymyces
Brevicellicium
Bryochiton
Bryoglossum
Bryoria
Buellia
Bullera
Burgoa
Butyriboletus
Byssochlamys
Byssocorticium
Byssonectria
Cadophora
Calcarisporium
Callistosporium
Calocybe
Calogaya
Calonarius
Calonectria
Calophoma
Caloplaca
Calvatia
Calycellina
Calycina
Calyptella
Calyptrozyma
Camarophyllopsis
Camarophyllus
Camarops
Camarosporidiella
Camposporium
Campylocarpon
Candelabrochaete
Candelariella
Candolleomyces
Cantharellus
Capnobotryella
Capnocheirides
Capnodium
Capronia
Carcinomyces
Castanediella
Catenulostroma
Cenococcum
Cephaliophora
Cephalosporium
Cephalotheca
Cephalotrichum
Ceraceomyces
Ceratobasidium
Ceratocystis
Cercophora
Cercospora
Ceriporia
Ceriporiopsis
Cerrena
Cetraria
Chaetomella
Chaetomidium
Chaetomium
Chaetosphaeria
Chaetosphaeronema
Cheilymenia
Chloridium
Chlorociboria
Chlorophyllum
Choiromyces
Chondrogaster
Chordomyces
Chroogomphus
Chrysomyxa
Chrysoporthe
Chrysosporium
Ciboria
Ciborinia
Ciliochorella
Circinaria
Circinotrichum
Cistella
Cladia
Cladobotryum
Cladonia
Cladophialophora
Cladorrhinum
Cladosporium
Clarireedia
Clathrosphaerina
Clathrus
Claussenomyces
Clavaria
Clavariadelphus
Claviceps
Clavispora
Clavulina
Clavulinopsis
Clitocybe
Clitocybula
Clitopilus
Clonostachys
Coccomyces
Cochliobolus
Codinaea
Coleophoma
Colletotrichum
Collophora
Collybia
Collybiopsis
Colpoma
Coltricia
Coltriciella
Comoclathris
Coniella
Coniocessia
Coniochaeta
Coniophora
Coniosporium
Coniothyrium
Conlarium
Connersia
Conocybe
Constantinomyces
Coprinellus
Coprinopsis
Coprinus
Cora
Corallomycetella
Cordyceps
Coriolopsis
Corollospora
Cortinarius
Corynascella
Corynespora
Cosmospora
Cotylidia
Craterellus
Crepidotus
Crinipellis
Cristinia
Crocicreas
Cryphonectria
Cryptococcus
Cryptodiscus
Cryptosporiopsis
Cryptotrichosporon
Ctenomyces
Cudonia
Cudoniella
Cuphophyllus
Curvularia
Cutaneotrichosporon
Cyanosporus
Cyathicula
Cyathus
Cyberlindnera
Cylindrium
Cylindroaseptospora
Cylindrocarpon
Cylindrocladiella
Cylindrocladium
Cylindrodendrum
Cylindrosympodioides
Cylindrosympodium
Cyphellophora
Cystobasidium
Cystoderma
Cystodermella
Cystofilobasidium
Cystolepiota
Cytospora
Dacrymyces
Dactylaria
Dactylella
Dactylellina
Dactylonectria
Dactylospora
