Order
Acarosporales
Acrospermales
Agaricales
Agaricostilbales
Amphisphaeriales
Amylocorticiales
Annulatascales
Archaeorhizomycetales
Arthoniales
Asterinales
Atheliales
Atractiellales
Atractosporales
Auriculariales
Baeomycetales
Bezerromycetales
Boletales
Boliniales
Botryosphaeriales
Caliciales
Calosphaeriales
Candelariales
Cantharellales
Capnodiales
Cephalothecales
Chaetosphaeriales
Chaetothyriales
Coniochaetales
Conioscyphales
Corticiales
Coryneliales
Cystobasidiales
Cystofilobasidiales
Dacrymycetales
Diaporthales
Distoseptisporales
Dothideales
Entylomatales
Erysiphales
Erythrobasidiales
Eurotiales
Exobasidiales
Filobasidiales
Geastrales
Geminibasidiales
Geoglossales
Gloeophyllales
Glomerellales
Gomphales
Helicobasidiales
Helotiales
Holtermanniales
Hymenochaetales
Hypocreales
Hysterangiales
Hysteriales
Jaapiales
Jahnulales
Kriegeriales
Laboulbeniales
Lauriomycetales
Lecanorales
Lecideales
Leotiales
Leucosporidiales
Lichenostigmatales
Lichinales
Lulworthiales
Magnaporthales
Malasseziales
Microascales
Microbotryales
Microstromatales
Microthyriales
Minutisphaerales
Muyocopronales
Mycocaliciales
Mycosphaerellales
Myriangiales
Myrmecridiales
Mytilinidales
Mytilinidiales
Onygenales
Ophiostomatales
Orbiliales
Ostropales
Pachnocybales
Parasympodiellales
Patellariales
Peltigerales
Pertusariales
Pezizales
Phacidiales
Phaeomoniellales
Phaeothecales
Phaeotrichales
Phallales
Phomatosporales
Phyllachorales
Pisorisporiales
Platygloeales
Pleosporales
Pleurotheciales
Pneumocystales
Polyporales
Pseudodactylariales
Pucciniales
Pyrenulales
Pyxidiophorales
Rhizocarpales
Rhytismatales
Russulales
Saccharomycetales
Sakaguchiales
Sareales
Savoryellales
Sclerococcales
Sebacinales
Septobasidiales
Sordariales
Sporidiobolales
Stereopsidales
Taphrinales
Teloschistales
Thelebolales
Thelephorales
Thyridiales
Tilletiales
Togniniales
Trapeliales
Trechisporales
Tremellales
Tremellodendropsidales
Trichosphaeriales
Trichosporonales
Tritirachiales
Trypetheliales
Tubeufiales
Umbilicariales
Urocystidales
Ustilaginales
Valsariales
Venturiales
Vermiculariopsiellales
Verrucariales
Violaceomycetales
Wallemiales
Xenospadicoidales
Xylariales
