Species
Acrocalymma_vagum
Agaricus_bisporus
Albonectria_rigidiuscula
Alternaria_alternata
Alternaria_arborescens
Alternaria_brassicae
Alternaria_brassicicola
Alternaria_chlamydosporigena
Alternaria_infectoria
Alternaria_porri
Alternaria_solani
Alternaria_tenuissima
Amanita_muscaria
Annulohypoxylon_stygium
Apiospora_arundinis
Armillaria_cepistipes
Armillaria_gallica
Armillaria_mellea
Armillaria_ostoyae
Ascochyta_rabiei
Aspergillus_aculeatus
Aspergillus_amstelodami
Aspergillus_awamori
Aspergillus_carbonarius
Aspergillus_chevalieri
Aspergillus_fischeri
Aspergillus_flavipes
Aspergillus_flavus
Aspergillus_fumigatus
Aspergillus_japonicus
Aspergillus_nidulans
Aspergillus_niger
Aspergillus_nomiae
Aspergillus_ochraceus
Aspergillus_parasiticus
Aspergillus_penicillioides
Aspergillus_ruber
Aspergillus_sydowii
Aspergillus_tamarii
Aspergillus_terreus
Aspergillus_tubingensis
Aspergillus_ustus
Aspergillus_versicolor
Aspergillus_westerdijkiae
Athelia_rolfsii
Aureobasidium_melanogenum
Aureobasidium_pullulans
Auricularia_auricula-judae
Auricularia_heimuer
Auricularia_nigricans
Beauveria_bassiana
Beauveria_pseudobassiana
Bipolaris_maydis
Bipolaris_oryzae
Bipolaris_sorokiniana
Bipolaris_zeicola
Biscogniauxia_mediterranea
Bjerkandera_adusta
Blastobotrys_adeninivorans
Blumeria_graminis
Boeremia_exigua
Boletus_edulis
Botryosphaeria_dothidea
Botryosphaeria_stevensii
Botrytis_cinerea
Byssochlamys_spectabilis
Cadophora_luteo-olivacea
Cadophora_malorum
Candolleomyces_candolleanus
Cenococcum_geophilum
Ceratobasidium_cereale
Ceratocystis_fimbriata
Ceratocystis_paradoxa
Ceratocystis_piceae
Cercospora_beticola
Cercospora_canescens
Cetraria_aculeata
Chaetomium_globosum
Cladonia_furcata
Cladonia_rangiformis
Cladophialophora_carrionii
Cladosporium_cladosporioides
Cladosporium_halotolerans
Cladosporium_herbarum
Cladosporium_oxysporum
Cladosporium_perangustum
Cladosporium_pseudocladosporioides
Cladosporium_ramotenellum
Cladosporium_sphaerospermum
Cladosporium_tenuissimum
Claviceps_purpurea
Clavispora_lusitaniae
Clonostachys_rosea
Cochliobolus_geniculatus
Colletotrichum_acutatum
Colletotrichum_asianum
Colletotrichum_boninense
Colletotrichum_brevisporum
Colletotrichum_capsici
Colletotrichum_coccodes
Colletotrichum_dematium
Colletotrichum_fioriniae
Colletotrichum_fructicola
Colletotrichum_gloeosporioides
Colletotrichum_godetiae
Colletotrichum_graminicola
Colletotrichum_karsti
Colletotrichum_nymphaeae
Colletotrichum_scovillei
Colletotrichum_siamense
Colletotrichum_truncatum
Colletotrichum_viniferum
Coprinellus_disseminatus
Coprinellus_radians
Cordyceps_fumosorosea
Cordyceps_javanica
Cordyceps_militaris
Corynespora_cassiicola
Cryptococcus_gattii
Cryptococcus_neoformans
Curvularia_hawaiiensis
Curvularia_lunata
Curvularia_spicifera
Cystofilobasidium_capitatum
Dactylonectria_macrodidyma
Daedaleopsis_confragosa
Daldinia_childiae
Daldinia_eschscholtzii
Daldinia_loculata
Dasyscyphella_longistipitata
Debaryomyces_delbrueckii
Debaryomyces_hansenii
Dekkera_bruxellensis
Diaporthe_ampelina
Diaporthe_amygdali
Diaporthe_foeniculina
Diaporthe_hongkongensis
Diaporthe_phaseolorum
Diaporthe_rudis
Didymella_glomerata
Didymella_macrostoma
Diplodia_seriata
Dothiorella_viticola
Dothistroma_septosporum
Epicoccum_nigrum
Epicoccum_sorghinum
Erysiphe_quercicola
Eutypa_lata
Exophiala_dermatitidis
Exophiala_oligosperma
Exophiala_xenobiotica
Exserohilum_rostratum
Exserohilum_turcicum
Filobasidium_magnum
Filobasidium_oeirense
Flammulina_velutipes
Fomes_fomentarius
Fomitopsis_pinicola
Fonsecaea_monophora
Fonsecaea_pedrosoi
Fusarium_asiaticum
Fusarium_brachygibbosum
Fusarium_chlamydosporum
Fusarium_culmorum
Fusarium_equiseti
Fusarium_fujikuroi
Fusarium_graminearum
Fusarium_incarnatum
Fusarium_keratoplasticum
Fusarium_oxysporum
Fusarium_proliferatum
Fusarium_redolens
Fusarium_solani
Fusarium_sporotrichioides
Fusarium_tricinctum
Gaeumannomyces_graminis
Ganoderma_applanatum
Ganoderma_australe
Ganoderma_lucidum
Ganoderma_orbiforme
Ganoderma_resinaceum
Ganoderma_sichuanense
Geotrichum_candidum
Gibberella_acuminata
Gibberella_avenacea
Gibberella_baccata
Gibberella_coronicola
Gibberella_pulicaris
Gibellulopsis_nigrescens
Glomerella_tucumanensis
Gymnopus_dryophilus
Hanseniaspora_opuntiae
Hanseniaspora_uvarum
Hericium_erinaceus
Histoplasma_capsulatum
Hortaea_werneckii
Hyaloscypha_bicolor
Hyaloscypha_variabilis
Hymenochaete_rheicolor
Hymenoscyphus_fraxineus
Hyphodontia_tropica
Hypoxylon_fragiforme
Hypsizygus_marmoreus
Ilyonectria_destructans
